Sample,HR,RR,MSE_Time,PSNR,Corr,MSE_Freq,Orig_Peak1_Freq,Orig_Peak2_Freq,Orig_Peak3_Freq,Gen_Peak1_Freq,Gen_Peak2_Freq,Gen_Peak3_Freq
1,81.0,25.0,0.2709129329213174,5.67170261994166,-0.3480302174644486,0.00017382105584821044,1.375,0,0,1.375,0.75,2.625
2,78.0,17.0,0.5712620715219161,2.4316460960924533,0.29721775723653543,2.8775196770806895e-05,1.375,0,0,1.375,2.75,0.0
3,77.0,15.0,0.4486380324330622,3.4810391270650163,0.6032914035797149,0.0011600039843251897,0.0,0,0,1.25,2.5,0.25
4,74.0,15.0,0.29717740310246654,5.269842167183497,0.459883205498888,0.002194673380108141,0.25,1.25,0,1.25,0.25,2.5
5,87.0,18.0,0.4250787083502157,3.7153064774421414,-0.15992885937320697,0.005161139108139619,0.0,0,0,1.375,18.0,2.875
6,118.0,14.0,0.5728566098262564,2.419540714956612,-0.568972047288983,0.0001177267138078434,0.0,0,0,2.125,4.125,0.375
7,107.0,21.0,0.6528467632711779,1.8518874472103781,0.6364502238693975,0.0026866060514695654,1.75,0.375,0,1.75,3.625,0.25
8,90.0,20.0,0.4173461082901249,3.795036318955867,0.8107280412318959,0.0003463353695852295,1.5,0,0,1.5,3.0,4.5
9,63.0,18.0,0.6831604519130744,1.6547728285338423,0.8175292794406066,7.834187433115523e-05,1.0,2.125,0,1.0,2.125,3.125
10,81.0,18.0,0.8631090692435519,0.6393431995386711,-0.670874139511671,1.3291797490972633e-05,1.375,0,0,1.375,2.75,4.125
